ENCODED_MCT,TA_YM,HPSN_MCT_BZN_CD_NM,closure_probability,risk_score,risk_level,risk_type,priority,classification_confidence
AE28C5ED57,202412,,0.08275943,8,Very Low,정상,normal,0.0
543E9DF72E,202412,금남시장,0.080330074,8,Very Low,정상,normal,0.0
FA9FC0963F,202412,뚝섬,0.080290735,8,Very Low,정상,normal,0.0
536CC51122,202412,,0.08696367,8,Very Low,정상,normal,0.0
544E8A51CC,202412,,0.08969371,8,Very Low,정상,normal,0.0
CE70A9427E,202412,뚝섬,0.08032467,8,Very Low,정상,normal,0.0
CDFDDEE207,202412,금남시장,0.08769955,8,Very Low,정상,normal,0.0
097459D735,202412,왕십리,0.08659793,8,Very Low,정상,normal,0.0
201D6EE851,202412,왕십리,0.084854655,8,Very Low,정상,normal,0.0
13B170C44E,202412,한양대,0.08388269,8,Very Low,정상,normal,0.0
B00E0D8C60,202412,,0.081979945,8,Very Low,정상,normal,0.0
3632A29DDA,202412,한양대,0.08926042,8,Very Low,정상,normal,0.0
CED054F322,202412,,0.08669063,8,Very Low,정상,normal,0.0
A35823D681,202412,금남시장,0.08372268,8,Very Low,정상,normal,0.0
129842CE2F,202412,뚝섬,0.089855395,8,Very Low,정상,normal,0.0
D83FD7E108,202412,성수,0.08143403,8,Very Low,정상,normal,0.0
45E1109CF3,202412,성수,0.088719025,8,Very Low,정상,normal,0.0
7C472E221F,202412,뚝섬,0.0837152,8,Very Low,정상,normal,0.0
8150B24EAD,202412,성수,0.088406526,8,Very Low,정상,normal,0.0
3D7F3820C1,202412,금남시장,0.08522725,8,Very Low,정상,normal,0.0
B602E6FF55,202412,,0.083200425,8,Very Low,정상,normal,0.0
B4C8D0B6AD,202412,성수,0.08616265,8,Very Low,정상,normal,0.0
E672DE0773,202412,,0.08383092,8,Very Low,정상,normal,0.0
2DAF105D58,202412,금남시장,0.08044667,8,Very Low,정상,normal,0.0
ED7C41B517,202412,왕십리,0.08655592,8,Very Low,정상,normal,0.0
6958CB3DC0,202412,성수,0.0870622,8,Very Low,정상,normal,0.0
6D3DAB1193,202412,왕십리,0.0834518,8,Very Low,정상,normal,0.0
46B8E61C45,202412,옥수,0.086852945,8,Very Low,정상,normal,0.0
6C51945707,202412,,0.089040756,8,Very Low,정상,normal,0.0
C256EA2AC7,202412,뚝섬,0.08297644,8,Very Low,정상,normal,0.0
492180DBE3,202412,,0.08291579,8,Very Low,정상,normal,0.0
61D516DBB4,202412,옥수,0.08447862,8,Very Low,정상,normal,0.0
6242BB9BEB,202412,왕십리,0.088603534,8,Very Low,정상,normal,0.0
178A3B9A58,202412,,0.087992065,8,Very Low,정상,normal,0.0
EC9D2C4B17,202412,왕십리,0.08806893,8,Very Low,정상,normal,0.0
ED52D189EC,202412,,0.08029949,8,Very Low,정상,normal,0.0
17979A7FB4,202412,성수,0.08228409,8,Very Low,정상,normal,0.0
A9B8207363,202412,,0.084969014,8,Very Low,정상,normal,0.0
A93F318601,202412,성수,0.08024779,8,Very Low,정상,normal,0.0
6810C7C7CE,202412,,0.08575323,8,Very Low,정상,normal,0.0
DA7113101B,202412,,0.08893381,8,Very Low,정상,normal,0.0
EE28A75CE0,202412,뚝섬,0.08751909,8,Very Low,정상,normal,0.0
DA16B2905C,202412,,0.08962977,8,Very Low,정상,normal,0.0
46F5D36BCA,202412,성수,0.08774396,8,Very Low,정상,normal,0.0
CF090D5B8C,202412,,0.08189224,8,Very Low,정상,normal,0.0
1AC8580FC6,202412,왕십리,0.08178506,8,Very Low,정상,normal,0.0
887F609C60,202412,왕십리,0.084363826,8,Very Low,정상,normal,0.0
88106077FD,202412,,0.08247291,8,Very Low,정상,normal,0.0
085F6E716F,202412,,0.088986024,8,Very Low,정상,normal,0.0
C3CE191BFB,202412,금남시장,0.08765867,8,Very Low,정상,normal,0.0
4828F279E2,202412,왕십리,0.083805844,8,Very Low,정상,normal,0.0
ABB4516DD1,202412,답십리,0.085496515,8,Very Low,정상,normal,0.0
643B6CDCC2,202412,신금호,0.08119981,8,Very Low,정상,normal,0.0
1B0AE78A30,202412,뚝섬,0.08827319,8,Very Low,정상,normal,0.0
19BD32B8E8,202412,,0.08663326,8,Very Low,정상,normal,0.0
502C539374,202412,,0.08314599,8,Very Low,정상,normal,0.0
C01850577F,202412,,0.08498864,8,Very Low,정상,normal,0.0
FEAAE06C47,202412,,0.08401032,8,Very Low,정상,normal,0.0
8CA0382A69,202412,,0.08590598,8,Very Low,정상,normal,0.0
DF32149DAD,202412,금남시장,0.084237084,8,Very Low,정상,normal,0.0
DF334CC79E,202412,답십리,0.08494472,8,Very Low,정상,normal,0.0
003473B465,202412,뚝섬,0.0724403,7,Very Low,정상,normal,0.0
8E1FCF09CD,202412,,0.07090677,7,Very Low,정상,normal,0.0
FD13D7996E,202412,뚝섬,0.071552984,7,Very Low,정상,normal,0.0
D0C8ACE492,202412,답십리,0.07935737,7,Very Low,정상,normal,0.0
38D9B1B96A,202412,금남시장,0.07610892,7,Very Low,정상,normal,0.0
D218E37580,202412,,0.07162948,7,Very Low,정상,normal,0.0
282DE0EEF4,202412,왕십리,0.07078958,7,Very Low,정상,normal,0.0
BE0A7DD7AB,202412,금남시장,0.07701512,7,Very Low,정상,normal,0.0
8B137D6875,202412,성수,0.075719416,7,Very Low,정상,normal,0.0
02826B57BE,202412,마장동,0.0797994,7,Very Low,정상,normal,0.0
664477153F,202412,한양대,0.07478651,7,Very Low,정상,normal,0.0
AAC0448147,202412,성수,0.07626898,7,Very Low,정상,normal,0.0
1B4D60A004,202412,왕십리,0.07450618,7,Very Low,정상,normal,0.0
487926887C,202412,뚝섬,0.07429967,7,Very Low,정상,normal,0.0
1C55BF6FB8,202412,,0.07495926,7,Very Low,정상,normal,0.0
4916AD88E4,202412,,0.07022605,7,Very Low,정상,normal,0.0
63AB211FC9,202412,금남시장,0.07443384,7,Very Low,정상,normal,0.0
1BE17A9B6B,202412,성수,0.07109502,7,Very Low,정상,normal,0.0
17B71ACAEE,202412,한양대,0.07294268,7,Very Low,정상,normal,0.0
30623F3257,202412,,0.07333246,7,Very Low,정상,normal,0.0
309BDE407B,202412,,0.07732197,7,Very Low,정상,normal,0.0
68FD248F73,202412,뚝섬,0.07131367,7,Very Low,정상,normal,0.0
674011F2F1,202412,옥수,0.0762118,7,Very Low,정상,normal,0.0
6A43ED334C,202412,왕십리,0.07378159,7,Very Low,정상,normal,0.0
A7C2991F57,202412,,0.076622024,7,Very Low,정상,normal,0.0
D9D5B30E21,202412,성수,0.07628215,7,Very Low,정상,normal,0.0
67950640CA,202412,왕십리,0.07518972,7,Very Low,정상,normal,0.0
EFEE980DF0,202412,,0.07542996,7,Very Low,정상,normal,0.0
A69C8FE49A,202412,,0.071330406,7,Very Low,정상,normal,0.0
E8B987DD5B,202412,,0.07831321,7,Very Low,정상,normal,0.0
5FAF6E0F7F,202412,답십리,0.07163238,7,Very Low,정상,normal,0.0
5F0AAEF5DF,202412,,0.079843365,7,Very Low,정상,normal,0.0
B1AD8ED803,202412,성수,0.07911929,7,Very Low,정상,normal,0.0
E68971A4E9,202412,왕십리,0.07128653,7,Very Low,정상,normal,0.0
70C1CDADC9,202412,뚝섬,0.079415865,7,Very Low,정상,normal,0.0
F095DE8367,202412,,0.07465573,7,Very Low,정상,normal,0.0
A412739857,202412,뚝섬,0.077996634,7,Very Low,정상,normal,0.0
14DC63223D,202412,뚝섬,0.07630537,7,Very Low,정상,normal,0.0
746686BA39,202412,,0.07107686,7,Very Low,정상,normal,0.0
718E77B3A8,202412,왕십리,0.07979227,7,Very Low,정상,normal,0.0
C919038375,202412,,0.077746525,7,Very Low,정상,normal,0.0
D749124593,202412,금남시장,0.072715454,7,Very Low,정상,normal,0.0
71F3F05C4E,202412,왕십리,0.07374135,7,Very Low,정상,normal,0.0
5C3A9D7C5A,202412,뚝섬,0.077238224,7,Very Low,정상,normal,0.0
5B875E9A9E,202412,뚝섬,0.07963763,7,Very Low,정상,normal,0.0
C1E11E7838,202412,성수,0.074861154,7,Very Low,정상,normal,0.0
DAFBA48973,202412,왕십리,0.07566182,7,Very Low,정상,normal,0.0
F276A1602F,202412,성수,0.077378005,7,Very Low,정상,normal,0.0
42334BE576,202412,풍산지구,0.07868335,7,Very Low,정상,normal,0.0
74E56D3EBE,202412,왕십리,0.072584145,7,Very Low,정상,normal,0.0
9E719E496C,202412,,0.074129835,7,Very Low,정상,normal,0.0
741A5F2B65,202412,왕십리,0.07495812,7,Very Low,정상,normal,0.0
0E46A72EBB,202412,금남시장,0.079682946,7,Very Low,정상,normal,0.0
775E4B34A4,202412,신금호,0.073909834,7,Very Low,정상,normal,0.0
9D2CF29F75,202412,성수,0.07069616,7,Very Low,정상,normal,0.0
D592366647,202412,,0.0759917,7,Very Low,정상,normal,0.0
75E1602760,202412,,0.07620064,7,Very Low,정상,normal,0.0
DD2B300AD5,202412,,0.07571211,7,Very Low,정상,normal,0.0
B72212ED1C,202412,성수,0.074917346,7,Very Low,정상,normal,0.0
79DE8BB0B3,202412,,0.07913072,7,Very Low,정상,normal,0.0
7A25182C89,202412,,0.079657584,7,Very Low,정상,normal,0.0
9A37DEDA8A,202412,성수,0.077044204,7,Very Low,정상,normal,0.0
7939D0AA25,202412,마장동,0.07393768,7,Very Low,정상,normal,0.0
416F075512,202412,성수,0.07926282,7,Very Low,정상,normal,0.0
41865131B6,202412,답십리,0.07258424,7,Very Low,정상,normal,0.0
9AFEF6448B,202412,성수,0.07330957,7,Very Low,정상,normal,0.0
0F17B95A3C,202412,왕십리,0.076545544,7,Very Low,정상,normal,0.0
9B061FC959,202412,성수,0.07342909,7,Very Low,정상,normal,0.0
9971417E96,202412,,0.073199004,7,Very Low,정상,normal,0.0
0E0486902E,202412,,0.073624685,7,Very Low,정상,normal,0.0
0C8815C811,202412,마장동,0.07841434,7,Very Low,정상,normal,0.0
F6AC821645,202412,옥수,0.076756254,7,Very Low,정상,normal,0.0
7D41119FA7,202412,,0.073343135,7,Very Low,정상,normal,0.0
7D48C168B3,202412,뚝섬,0.073317975,7,Very Low,정상,normal,0.0
98C0A088C7,202412,금남시장,0.07985919,7,Very Low,정상,normal,0.0
995AA17CD7,202412,마장동,0.07241803,7,Very Low,정상,normal,0.0
23E72E19E5,202412,답십리,0.071168646,7,Very Low,정상,normal,0.0
E4B34ABDDB,202412,,0.07256854,7,Very Low,정상,normal,0.0
C08E57AC76,202412,마장동,0.079532936,7,Very Low,정상,normal,0.0
2C1B90C392,202412,뚝섬,0.07051253,7,Very Low,정상,normal,0.0
4E34EC1776,202412,답십리,0.07378918,7,Very Low,정상,normal,0.0
E411010CB1,202412,,0.074005045,7,Very Low,정상,normal,0.0
7E8084659F,202412,성수,0.078888476,7,Very Low,정상,normal,0.0
98356F2FBA,202412,,0.07335516,7,Very Low,정상,normal,0.0
3574088A21,202412,성수,0.078860134,7,Very Low,정상,normal,0.0
3FD4A26C54,202412,금남시장,0.070729494,7,Very Low,정상,normal,0.0
820A26A28C,202412,왕십리,0.07788718,7,Very Low,정상,normal,0.0
F8CF4EB923,202412,,0.07849661,7,Very Low,정상,normal,0.0
CCAD277073,202412,성수,0.071992524,7,Very Low,정상,normal,0.0
CD542717CA,202412,,0.07513338,7,Very Low,정상,normal,0.0
3D56F4D9D7,202412,장한평자동차,0.07138964,7,Very Low,정상,normal,0.0
80D43FAFB4,202412,,0.07454615,7,Very Low,정상,normal,0.0
E42018568E,202412,뚝섬,0.07555248,7,Very Low,정상,normal,0.0
5507C4D8DB,202412,마장동,0.07532022,7,Very Low,정상,normal,0.0
554B8B39CF,202412,답십리,0.07372759,7,Very Low,정상,normal,0.0
4E9408836B,202412,금남시장,0.074930966,7,Very Low,정상,normal,0.0
2A9CD599EF,202412,신금호,0.07142894,7,Very Low,정상,normal,0.0
E27C1862C9,202412,답십리,0.07487507,7,Very Low,정상,normal,0.0
85AE872C0E,202412,,0.07217676,7,Very Low,정상,normal,0.0
9314CB7768,202412,금남시장,0.071112856,7,Very Low,정상,normal,0.0
362A12ACAB,202412,성수,0.07441367,7,Very Low,정상,normal,0.0
36348ED941,202412,,0.07304231,7,Very Low,정상,normal,0.0
9385DC7BDB,202412,,0.073368125,7,Very Low,정상,normal,0.0
884843D6AE,202412,왕십리,0.07694022,7,Very Low,정상,normal,0.0
8866726E15,202412,왕십리,0.07488575,7,Very Low,정상,normal,0.0
9194148F99,202412,성수,0.07419129,7,Very Low,정상,normal,0.0
91BC1C6D21,202412,왕십리,0.074327916,7,Very Low,정상,normal,0.0
3C16CE8803,202412,성수,0.070872135,7,Very Low,정상,normal,0.0
387CE6C86C,202412,답십리,0.07749875,7,Very Low,정상,normal,0.0
FCCA295301,202412,,0.07873191,7,Very Low,정상,normal,0.0
BCCC2086A0,202412,옥수,0.0758516,7,Very Low,정상,normal,0.0
E19551340F,202412,,0.07733823,7,Very Low,정상,normal,0.0
E1D3268137,202412,한양대,0.072288446,7,Very Low,정상,normal,0.0
E20F4A8C30,202412,,0.0797527,7,Very Low,정상,normal,0.0
26034FF5B2,202412,왕십리,0.070967555,7,Very Low,정상,normal,0.0
FDD6335CBC,202412,,0.06717629,6,Very Low,정상,normal,0.0
8C3A8E3FD0,202412,옥수,0.069009356,6,Very Low,정상,normal,0.0
FFE9F1CC6A,202412,답십리,0.060639217,6,Very Low,정상,normal,0.0
8C57DE46AA,202412,신금호,0.062234204,6,Very Low,정상,normal,0.0
43397BFE31,202412,왕십리,0.06734853,6,Very Low,정상,normal,0.0
F25F012B89,202412,,0.0634391,6,Very Low,정상,normal,0.0
E9C5B231DE,202412,금남시장,0.06541754,6,Very Low,정상,normal,0.0
E9CCC6C53D,202412,답십리,0.065610714,6,Very Low,정상,normal,0.0
0B2BB3D26D,202412,,0.06434798,6,Very Low,정상,normal,0.0
F74D26733C,202412,뚝섬,0.06372886,6,Very Low,정상,normal,0.0
C356A661EB,202412,한양대,0.060074285,6,Very Low,정상,normal,0.0
64DAA985AE,202412,성수,0.064781435,6,Very Low,정상,normal,0.0
7ED39D1A53,202412,뚝섬,0.060519885,6,Very Low,정상,normal,0.0
C9EC8F7695,202412,성수,0.06992723,6,Very Low,정상,normal,0.0
34CF430710,202412,왕십리,0.06989682,6,Very Low,정상,normal,0.0
285AE413AF,202412,성수,0.06708096,6,Very Low,정상,normal,0.0
FCBE9BD039,202412,한양대,0.06889319,6,Very Low,정상,normal,0.0
BFA619CF5E,202412,왕십리,0.06383574,6,Very Low,정상,normal,0.0
297CF99623,202412,행당,0.063711725,6,Very Low,정상,normal,0.0
7F2B4924B4,202412,성수,0.069817774,6,Very Low,정상,normal,0.0
94F3CA422B,202412,성수,0.06955291,6,Very Low,정상,normal,0.0
950EA7A1A2,202412,뚝섬,0.062337805,6,Very Low,정상,normal,0.0
80DB1CE0EE,202412,성수,0.06533451,6,Very Low,정상,normal,0.0
95CED9DF82,202412,,0.06875533,6,Very Low,정상,normal,0.0
641883F244,202412,,0.0624235,6,Very Low,정상,normal,0.0
AD98FC8B76,202412,왕십리,0.06256436,6,Very Low,정상,normal,0.0
109684EF6A,202412,,0.06650005,6,Very Low,정상,normal,0.0
0E8F0CC5D8,202412,,0.06337417,6,Very Low,정상,normal,0.0
9FF4B1EA10,202412,답십리,0.06304961,6,Very Low,정상,normal,0.0
BD97D048D7,202412,마장동,0.064986795,6,Very Low,정상,normal,0.0
245B7B99B2,202412,,0.0630284,6,Very Low,정상,normal,0.0
BC2FFDF526,202412,금남시장,0.0636283,6,Very Low,정상,normal,0.0
7163461E10,202412,,0.06676636,6,Very Low,정상,normal,0.0
1C69DD5AFC,202412,,0.06426314,6,Very Low,정상,normal,0.0
EB654FE0E6,202412,,0.06285563,6,Very Low,정상,normal,0.0
EBA77DE1F3,202412,,0.060556527,6,Very Low,정상,normal,0.0
AA2334143C,202412,왕십리,0.060692694,6,Very Low,정상,normal,0.0
667E63F3BC,202412,,0.069751784,6,Very Low,정상,normal,0.0
A9897F7C55,202412,옥수,0.06953335,6,Very Low,정상,normal,0.0
187D17CE25,202412,,0.06486372,6,Very Low,정상,normal,0.0
197C457DEF,202412,성수,0.060423158,6,Very Low,정상,normal,0.0
F907A9A2FF,202412,금남시장,0.06970529,6,Very Low,정상,normal,0.0
3EBB8FF3EB,202412,,0.067557365,6,Very Low,정상,normal,0.0
CCD6FF6A66,202412,,0.064749405,6,Very Low,정상,normal,0.0
3D85779307,202412,답십리,0.06408082,6,Very Low,정상,normal,0.0
1A185BC72B,202412,답십리,0.06742229,6,Very Low,정상,normal,0.0
CC9BA90614,202412,금남시장,0.06753816,6,Very Low,정상,normal,0.0
6FABF4670F,202412,,0.06756227,6,Very Low,정상,normal,0.0
32B3B5A4E4,202412,성수,0.06632323,6,Very Low,정상,normal,0.0
D3CEEC6D94,202412,성수,0.0671755,6,Very Low,정상,normal,0.0
88324FFE01,202412,왕십리,0.060696613,6,Very Low,정상,normal,0.0
8710E5DDEE,202412,금남시장,0.062083375,6,Very Low,정상,normal,0.0
4EE6193540,202412,왕십리,0.06989424,6,Very Low,정상,normal,0.0
3FE6E9531A,202412,왕십리,0.0616281,6,Very Low,정상,normal,0.0
3DE5786D97,202412,,0.06450258,6,Very Low,정상,normal,0.0
4B05972847,202412,성수,0.06726081,6,Very Low,정상,normal,0.0
4B5CD08E49,202412,,0.06912091,6,Very Low,정상,normal,0.0
6880AFD844,202412,마장동,0.06809201,6,Very Low,정상,normal,0.0
C432317FC6,202412,답십리,0.064540654,6,Very Low,정상,normal,0.0
C05AB78A24,202412,왕십리,0.066941366,6,Very Low,정상,normal,0.0
C0A51FB362,202412,한양대,0.06425283,6,Very Low,정상,normal,0.0
2B2AD47693,202412,답십리,0.0652049,6,Very Low,정상,normal,0.0
291A30DB5B,202412,금남시장,0.06670045,6,Very Low,정상,normal,0.0
257C2B26D3,202412,,0.06441377,6,Very Low,정상,normal,0.0
5712EA8578,202412,뚝섬,0.06652436,6,Very Low,정상,normal,0.0
B9CF9A1A80,202412,,0.06717629,6,Very Low,정상,normal,0.0
56355334E5,202412,,0.06786891,6,Very Low,정상,normal,0.0
BAFFCE9B97,202412,,0.06356498,6,Very Low,정상,normal,0.0
11B0AA1C3B,202412,왕십리,0.06526886,6,Very Low,정상,normal,0.0
11DA529896,202412,왕십리,0.064821325,6,Very Low,정상,normal,0.0
2F44EA8AEB,202412,,0.06656061,6,Very Low,정상,normal,0.0
30BB73F860,202412,,0.06986565,6,Very Low,정상,normal,0.0
699C421ABB,202412,성수,0.061706148,6,Very Low,정상,normal,0.0
5E6FE68BF5,202412,마장동,0.065902986,6,Very Low,정상,normal,0.0
B17C13DDBE,202412,왕십리,0.06418572,6,Very Low,정상,normal,0.0
F8A8FD6F7C,202412,성수,0.06446214,6,Very Low,정상,normal,0.0
4F6533C9B9,202412,왕십리,0.06374289,6,Very Low,정상,normal,0.0
FBE1518873,202412,,0.06419333,6,Very Low,정상,normal,0.0
E71A3EA260,202412,옥수,0.062484343,6,Very Low,정상,normal,0.0
5D5111FAC3,202412,왕십리,0.060755536,6,Very Low,정상,normal,0.0
B2319196A9,202412,,0.06692823,6,Very Low,정상,normal,0.0
B23694E88A,202412,,0.06854515,6,Very Low,정상,normal,0.0
1F4203EA83,202412,,0.061309326,6,Very Low,정상,normal,0.0
E811B2836B,202412,신금호,0.0631494,6,Very Low,정상,normal,0.0
CB3797D731,202412,왕십리,0.062116165,6,Very Low,정상,normal,0.0
36E8832157,202412,성수,0.065505624,6,Very Low,정상,normal,0.0
36FA50BD7D,202412,뚝섬,0.061722897,6,Very Low,정상,normal,0.0
37075F1B6D,202412,성수,0.06977331,6,Very Low,정상,normal,0.0
41FCF57F43,202412,장한평자동차,0.061113287,6,Very Low,정상,normal,0.0
0EED6D3006,202412,성수,0.06918435,6,Very Low,정상,normal,0.0
4D95F03916,202412,왕십리,0.06678042,6,Very Low,정상,normal,0.0
56E1D6E430,202412,금남시장,0.068448596,6,Very Low,정상,normal,0.0
B8F3A35930,202412,뚝섬,0.06616167,6,Very Low,정상,normal,0.0
A31F4B0838,202412,뚝섬,0.06289096,6,Very Low,정상,normal,0.0
F03D2DB87E,202412,,0.067541555,6,Very Low,정상,normal,0.0
98FBEBF96C,202412,왕십리,0.064167306,6,Very Low,정상,normal,0.0
7A40C57CE9,202412,,0.06817048,6,Very Low,정상,normal,0.0
E5E7DB8834,202412,왕십리,0.06401907,6,Very Low,정상,normal,0.0
5B15CE4AD1,202412,,0.06177462,6,Very Low,정상,normal,0.0
A7882F4EF8,202412,성수,0.06534653,6,Very Low,정상,normal,0.0
A5DA4E1003,202412,성수,0.067597434,6,Very Low,정상,normal,0.0
15B7F02740,202412,옥수,0.06564651,6,Very Low,정상,normal,0.0
B3A70AB07E,202412,답십리,0.062057324,6,Very Low,정상,normal,0.0
20E4760A74,202412,답십리,0.060689244,6,Very Low,정상,normal,0.0
F4EB8AB693,202412,왕십리,0.066647485,6,Very Low,정상,normal,0.0
99FF67EFD4,202412,성수,0.061228257,6,Very Low,정상,normal,0.0
9A64F9D3E4,202412,성수,0.06862397,6,Very Low,정상,normal,0.0
D7FE7C347D,202412,왕십리,0.06617418,6,Very Low,정상,normal,0.0
31AED9557A,202412,마장동,0.06255354,6,Very Low,정상,normal,0.0
327194B461,202412,뚝섬,0.06384982,6,Very Low,정상,normal,0.0
D89DEC9B29,202412,성수,0.06374497,6,Very Low,정상,normal,0.0
FA4EC253FD,202412,성수,0.06435638,6,Very Low,정상,normal,0.0
07E426EE6F,202412,옥수,0.060221236,6,Very Low,정상,normal,0.0
B74BDE56CF,202412,,0.066718884,6,Very Low,정상,normal,0.0
582A075088,202412,,0.06731985,6,Very Low,정상,normal,0.0
D6745235EA,202412,왕십리,0.06400787,6,Very Low,정상,normal,0.0
CADFDBF8E5,202412,뚝섬,0.06043296,6,Very Low,정상,normal,0.0
D57855D6EF,202412,왕십리,0.06522518,6,Very Low,정상,normal,0.0
933122CC60,202412,,0.065937765,6,Very Low,정상,normal,0.0
831DD29FAB,202412,한양대,0.06938816,6,Very Low,정상,normal,0.0
0904E1A37E,202412,행당,0.06440306,6,Very Low,정상,normal,0.0
09544ED347,202412,성수,0.069736965,6,Very Low,정상,normal,0.0
21BA47CF6E,202412,왕십리,0.06685808,6,Very Low,정상,normal,0.0
22472FE723,202412,뚝섬,0.060652968,6,Very Low,정상,normal,0.0
58B1DEEE5D,202412,답십리,0.061559018,6,Very Low,정상,normal,0.0
58BB43C891,202412,뚝섬,0.06644216,6,Very Low,정상,normal,0.0
79D7D3DBF2,202412,성수,0.06849539,6,Very Low,정상,normal,0.0
DDA2B18650,202412,왕십리,0.061474346,6,Very Low,정상,normal,0.0
4CE99C7D02,202412,,0.065773055,6,Very Low,정상,normal,0.0
C7323D89BF,202412,답십리,0.0608816,6,Very Low,정상,normal,0.0
45B5488EF8,202412,,0.061761014,6,Very Low,정상,normal,0.0
EFE2BD2AEE,202412,왕십리,0.06026319,6,Very Low,정상,normal,0.0
7A666E6612,202412,뚝섬,0.06643949,6,Very Low,정상,normal,0.0
B683D261A6,202412,금남시장,0.06972023,6,Very Low,정상,normal,0.0
39ADC0C466,202412,성수,0.069641456,6,Very Low,정상,normal,0.0
00F733C995,202412,성수,0.06303548,6,Very Low,정상,normal,0.0
8EDC8EDB1E,202412,성수,0.06262179,6,Very Low,정상,normal,0.0
42C1209E01,202412,성수,0.06509133,6,Very Low,정상,normal,0.0
8D3B01376B,202412,,0.06760417,6,Very Low,정상,normal,0.0
8CF0FD6C6A,202412,금남시장,0.06901884,6,Very Low,정상,normal,0.0
02080D3457,202412,금남시장,0.06863725,6,Very Low,정상,normal,0.0
023652A43E,202412,성수,0.065621585,6,Very Low,정상,normal,0.0
01EBAA3D0F,202412,뚝섬,0.06372063,6,Very Low,정상,normal,0.0
8B1D7FD077,202412,성수,0.06622238,6,Very Low,정상,normal,0.0
50FB1F6C45,202412,금남시장,0.06463723,6,Very Low,정상,normal,0.0
9E0BA26F39,202412,,0.06850598,6,Very Low,정상,normal,0.0
9E1B58CB83,202412,,0.06419333,6,Very Low,정상,normal,0.0
9E2D544C88,202412,한양대,0.06489545,6,Very Low,정상,normal,0.0
9F5031D2E1,202412,성수,0.065779544,6,Very Low,정상,normal,0.0
9F920B9CA9,202412,행당,0.051963698,5,Very Low,정상,normal,0.0
743AB5992F,202412,옥수,0.050570015,5,Very Low,정상,normal,0.0
513A8B50FC,202412,마장동,0.050539713,5,Very Low,정상,normal,0.0
BF702C4B97,202412,,0.053714313,5,Very Low,정상,normal,0.0
BE9777DE4A,202412,,0.05953092,5,Very Low,정상,normal,0.0
BE7CFBC6B2,202412,뚝섬,0.056441832,5,Very Low,정상,normal,0.0
E06F67F152,202412,뚝섬,0.059496514,5,Very Low,정상,normal,0.0
E00E398B70,202412,신금호,0.05076536,5,Very Low,정상,normal,0.0
DFE96F9825,202412,금남시장,0.052281987,5,Very Low,정상,normal,0.0
0305234DDB,202412,성수,0.0562265,5,Very Low,정상,normal,0.0
050581F0EE,202412,성수,0.057896238,5,Very Low,정상,normal,0.0
FEFBDB41EA,202412,한양대,0.051084552,5,Very Low,정상,normal,0.0
8AD0AE30E8,202412,금남시장,0.0503399,5,Very Low,정상,normal,0.0
FD27934820,202412,답십리,0.05651412,5,Very Low,정상,normal,0.0
FD00BD4D69,202412,옥수,0.051115673,5,Very Low,정상,normal,0.0
D23184A6DD,202412,왕십리,0.05717568,5,Very Low,정상,normal,0.0
119075288D,202412,뚝섬,0.056273647,5,Very Low,정상,normal,0.0
3B2E13DA95,202412,성수,0.0503259,5,Very Low,정상,normal,0.0
E4E1737501,202412,뚝섬,0.05321283,5,Very Low,정상,normal,0.0
DD282F5170,202412,뚝섬,0.05528401,5,Very Low,정상,normal,0.0
2D0E5434C1,202412,,0.058789864,5,Very Low,정상,normal,0.0
A523C21333,202412,장한평자동차,0.053399574,5,Very Low,정상,normal,0.0
EF414AEF31,202412,,0.05606125,5,Very Low,정상,normal,0.0
C719A39BCF,202412,금남시장,0.056474887,5,Very Low,정상,normal,0.0
C6A16C1225,202412,,0.057232,5,Very Low,정상,normal,0.0
F9740CF3C4,202412,성수,0.050204195,5,Very Low,정상,normal,0.0
2CC7A59E1B,202412,한양대,0.05753687,5,Very Low,정상,normal,0.0
2CB43F0D78,202412,,0.05722152,5,Very Low,정상,normal,0.0
C1A729DDD7,202412,왕십리,0.05125972,5,Very Low,정상,normal,0.0
C1853F0228,202412,왕십리,0.059208814,5,Very Low,정상,normal,0.0
B7C0ECA3FB,202412,왕십리,0.053230774,5,Very Low,정상,normal,0.0
B7BCECAB53,202412,마장동,0.053064793,5,Very Low,정상,normal,0.0
B7AFE65713,202412,뚝섬,0.052312933,5,Very Low,정상,normal,0.0
5890F473D8,202412,왕십리,0.053407535,5,Very Low,정상,normal,0.0
5866051D91,202412,,0.058615625,5,Very Low,정상,normal,0.0
5840B960CE,202412,답십리,0.053826537,5,Very Low,정상,normal,0.0
5AEEA3B4EF,202412,,0.05017638,5,Very Low,정상,normal,0.0
F95DBF0B74,202412,왕십리,0.0521923,5,Very Low,정상,normal,0.0
932E799577,202412,성수,0.051560152,5,Very Low,정상,normal,0.0
848399AA13,202412,답십리,0.054742903,5,Very Low,정상,normal,0.0
46B7CF90B2,202412,금남시장,0.056751728,5,Very Low,정상,normal,0.0
6C3AFD20C1,202412,답십리,0.052247927,5,Very Low,정상,normal,0.0
402132957B,202412,,0.05572706,5,Very Low,정상,normal,0.0
D4B36C76C4,202412,답십리,0.0528144,5,Very Low,정상,normal,0.0
D44E72CCFC,202412,,0.059209175,5,Very Low,정상,normal,0.0
360DDB462A,202412,,0.059988942,5,Very Low,정상,normal,0.0
CA54464181,202412,성수,0.05094133,5,Very Low,정상,normal,0.0
